iter	Passed	Remaining
421	3140	580
422	3149	573
423	3160	566
424	3170	559
425	3181	552
426	3191	545
427	3204	538
428	3214	531
429	3225	525
430	3235	517
431	3245	510
432	3252	503
433	3263	496
434	3271	488
435	3279	481
436	3288	474
437	3298	466
438	3309	459
439	3318	452
440	3328	445
441	3336	437
442	3347	430
443	3357	423
444	3368	416
445	3378	409
446	3388	401
447	3398	394
448	3409	387
449	3418	379
450	3428	372
451	3439	365
452	3450	357
453	3458	350
454	3466	342
455	3475	335
456	3483	327
457	3491	320
458	3499	312
459	3506	304
460	3514	297
461	3523	289
462	3531	282
463	3539	274
464	3546	266
465	3553	259
466	3561	251
467	3569	244
468	3579	236
469	3586	228
470	3594	221
471	3603	213
472	3610	206
473	3617	198
474	3626	190
475	3634	183
476	3643	175
477	3653	168
478	3661	160
479	3669	152
480	3677	145
481	3686	137
482	3693	129
483	3700	122
484	3709	114
485	3720	107
486	3728	99
487	3739	91
488	3751	84
489	3763	76
490	3774	69
491	3786	61
492	3797	53
493	3807	46
494	3819	38
495	3830	30
496	3841	23
497	3852	15
498	3863	7
499	3874	0
